4.953668899 10.10.1.2:37464 10.10.2.1:5001 32 0xafeeccf4 0xafeeccdc 10 14 28960 894 29312
4.954587922 10.10.1.2:37466 10.10.2.1:5001 32 0x776c835b 0x776c8343 10 14 28960 742 29312
4.955988810 10.10.1.2:37468 10.10.2.1:5001 32 0xe02fada 0xe02c7da 10 14 28960 531 29312
4.956629723 10.10.1.2:37466 10.10.2.1:5001 32 0x776cbbeb 0x776c835b 10 14 29056 711 29312
4.968675575 10.10.1.2:37466 10.10.2.1:5001 32 0x776cbbeb 0x776c8903 11 14 31872 749 29312
4.980775018 10.10.1.2:37466 10.10.2.1:5001 32 0x776cd833 0x776c8eab 12 14 34816 2288 29312
4.992796345 10.10.1.2:37466 10.10.2.1:5001 32 0x776cd833 0x776c9453 13 14 37760 5146 29312
5.004864068 10.10.1.2:37466 10.10.2.1:5001 32 0x776ce383 0x776c99fb 14 14 40576 9151 29312
5.016676986 10.10.1.2:37466 10.10.2.1:5001 32 0x776ceed3 0x776c9fa3 14 14 43520 14164 29312
5.028832893 10.10.1.2:37466 10.10.2.1:5001 32 0x776cf47b 0x776ca54b 14 14 46336 20024 29312
5.040798156 10.10.1.2:37466 10.10.2.1:5001 32 0x776cfa23 0x776caaf3 14 14 49280 26672 29312
5.052814699 10.10.1.2:37466 10.10.2.1:5001 32 0x776cffcb 0x776cb09b 14 14 52224 33984 29312
5.064761462 10.10.1.2:37466 10.10.2.1:5001 32 0x776d0573 0x776cb643 14 14 55040 41884 29312
5.076520770 10.10.1.2:37464 10.10.2.1:5001 32 0xafef0b2c 0xafeeccf4 10 14 29056 854 29312
5.088586335 10.10.1.2:37464 10.10.2.1:5001 32 0xafef10d4 0xafeed29c 11 14 31872 15847 29312
5.100576435 10.10.1.2:37464 10.10.2.1:5001 32 0xafef1c24 0xafeed844 12 14 34816 30473 29312
5.112469411 10.10.1.2:37464 10.10.2.1:5001 32 0xafef2774 0xafeeddec 13 14 37760 44771 29312
5.124520434 10.10.1.2:37464 10.10.2.1:5001 32 0xafef32c4 0xafeee394 14 14 40576 58767 29312
5.136467898 10.10.1.2:37464 10.10.2.1:5001 32 0xafef386c 0xafeee93c 14 14 43520 72520 29312
5.148736578 10.10.1.2:37464 10.10.2.1:5001 32 0xafef3e14 0xafeeeee4 14 14 46336 86046 29312
5.160739761 10.10.1.2:37464 10.10.2.1:5001 32 0xafef43bc 0xafeef48c 14 14 49280 99414 29312
5.172699315 10.10.1.2:37464 10.10.2.1:5001 32 0xafef4964 0xafeefa34 14 14 52224 112612 29312
5.184613712 10.10.1.2:37464 10.10.2.1:5001 32 0xafef4f0c 0xafeeffdc 14 14 55040 125655 29312
5.196658770 10.10.1.2:37468 10.10.2.1:5001 32 0xe030bd2 0xe02c7f2 1 5 29056 528 29312
5.208694709 10.10.1.2:37468 10.10.2.1:5001 32 0xe030bd2 0xe02cd9a 11 14 31872 30462 29312
5.220609736 10.10.1.2:37468 10.10.2.1:5001 32 0xe031722 0xe02d342 12 14 34816 58262 29312
5.232578905 10.10.1.2:37468 10.10.2.1:5001 32 0xe032272 0xe02d8ea 13 14 37760 84076 29312
5.244705675 10.10.1.2:37468 10.10.2.1:5001 32 0xe032dc2 0xe02de92 14 14 40576 108160 29312
5.256683069 10.10.1.2:37468 10.10.2.1:5001 32 0xe03336a 0xe02e43a 14 14 43520 130749 29312
5.268680501 10.10.1.2:37468 10.10.2.1:5001 32 0xe033912 0xe02e9e2 14 14 46336 152010 29312
